cik,companyName,stockSymbol,sector,industry,sic,sicCode
0000830483,"Oakridge Global Energy Solutions, Inc.",oges,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment","MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",3690
0001084580,Jefferies Group LLC,jef,"Finance, Insurance, And Real Estate","Security And Commodity Brokers, Dealers, Exchanges, And Services","SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",6211
0001339947,Viacom Inc.,viab,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,CABLE & OTHER PAY TELEVISION SERVICES,4841
0000093314,Volitionrx Ltd,vnrx,Manufacturing,Chemicals And Allied Products,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,2835
0001507986,"JetPay Corp ",jtpy,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices,BLANK CHECKS,6770
0001168325,FONU2 Inc.,fonu,Retail Trade,General Merchandise Stores,RETAIL-MISC GENERAL MERCHANDISE STORES,5399
0001124804,"Allscripts Healthcare Solutions, Inc.",mdrx,Services,Business Services,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,7373
0000320193,Apple Inc.,aapl,Manufacturing,Industrial And Commercial Machinery And Computer Equipment,ELECTRONIC COMPUTERS,3571
0001166380,"Quantum Fuel Systems Technologies Worldwide, Inc.",qtww,Manufacturing,Transportation Equipment,MOTOR VEHICLE PARTS & ACCESSORIES,3714
0001017907,First Acceptance Corp /DE/,fac,"Finance, Insurance, And Real Estate",Insurance Carriers,"FIRE, MARINE & CASUALTY INSURANCE",6331
0001009891,AIR INDUSTRIES GROUP,airi,Manufacturing,Transportation Equipment,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",3728
0000868725,"RENTECH, INC.",rtk,Manufacturing,Chemicals And Allied Products,AGRICULTURAL CHEMICALS,2870
0001297937,"Parks America, Inc",prka,Services,Amusement And Recreation Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,7990
0001525998,"Rentech Nitrogen Partners, L.P.",rnf,Manufacturing,Chemicals And Allied Products,AGRICULTURAL CHEMICALS,2870
0001432754,Cig Wireless Corp.,cigw,"Transportation, Communications, Electric, Gas, And Sanitary Services",Communications,"COMMUNICATIONS SERVICES, NEC",4899
0001487198,"Aspen Group, Inc.",aspu,Services,Educational Services,SERVICES-EDUCATIONAL SERVICES,8200
0001081078,API Technologies Corp.,atny,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",SEMICONDUCTORS & RELATED DEVICES,3674
0000727207,"ACCELERATE DIAGNOSTICS, INC.",axdx,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",LABORATORY ANALYTICAL INSTRUMENTS,3826
0001070698,Raptor Pharmaceutical Corp,rptp,Manufacturing,Chemicals And Allied Products,PHARMACEUTICAL PREPARATIONS,2834
0000818677,Security Federal Corporation,sfdl,"Finance, Insurance, And Real Estate",Depository Institutions,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",6035
0000839087,VASO Corp,vaso,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,3845
0000006951,Applied Materials Inc /DE,amat,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",SEMICONDUCTORS & RELATED DEVICES,3674
0001355304,"U-Swirl, Inc.",swrl,Retail Trade,Eating And Drinking Places,RETAIL-EATING PLACES,5812
0000796343,ADOBE INC.,adbe,Services,Business Services,SERVICES-PREPACKAGED SOFTWARE,7372
0001039684,"ONEOK, Inc.",oke,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services",NATURAL GAS TRANSMISISON & DISTRIBUTION,4923
0000883984,Icu Medical Inc/DE,icui,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,3841
